Altium Designer Pick and Place Locations
C:\Users\matt\Blinkinlabs-Repos\QL-EOS-S3-breakout\pcb\Project Outputs for QL-EOS-S3-breakout\Pick Place\Pick Place for QL-EOS-S3-breakout.csv

========================================================================================================================
File Design Information:

Date:       13/08/20
Time:       11:56
Revision:   afbe2b196b51552fa1a9f83fe809ee4b1a70437a
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"J1","TYPE-C-31-M-12","8.8900","31.7400","8.8900","34.2900","5.6650","29.1980","TopLayer","180","TYPE-C-31-M-12"
"F1","FP-MF-PSMF-MFG","13.3000","27.0000","13.3000","27.0000","12.2000","27.0000","TopLayer","0","MF-PSMF050X-2"
"R21","ERJ2G(0402)_L","5.3000","26.7000","5.3000","26.7000","5.3000","27.1000","TopLayer","270","10k"
"R20","ERJ2G(0402)_L","4.4000","26.7000","4.4000","26.7000","4.4000","27.1000","TopLayer","270","10k"
"R9","ERJ2G(0402)_L","9.9000","26.7000","9.9000","26.7000","9.9000","26.3000","TopLayer","90","1.5k"
"R8","ERJ2G(0402)_L","7.2000","26.7000","7.2000","26.7000","7.2000","26.3000","TopLayer","90","1.5k"
"R7","ERJ2G(0402)_L","9.0000","26.7000","9.0000","26.7000","9.0000","26.3000","TopLayer","90","22"
"R6","ERJ2G(0402)_L","8.1000","26.7000","8.1000","26.7000","8.1000","26.3000","TopLayer","90","22"
"R2","ERJ2G(0402)_L","6.3000","26.7000","6.3000","26.7000","6.3000","26.3000","TopLayer","90","5.1k"
"R1","ERJ2G(0402)_L","10.8000","26.7000","10.8000","26.7000","10.8000","27.1000","TopLayer","270","5.1k"
"C12","CAPC1608X09L","12.6000","25.5000","12.6000","25.5000","13.2500","25.5000","TopLayer","180","4.7uF"
"C10","CAPC1005X06L","10.0000","24.5000","10.0000","24.5000","10.0000","24.8900","BottomLayer","270","0.10uF"
"R22","ERJ2G(0402)_L","3.7000","23.0000","3.7000","23.0000","3.7000","22.6000","TopLayer","90","1.5k"
"R5","ERJ2G(0402)_L","4.7000","23.0000","4.7000","23.0000","4.7000","23.4000","TopLayer","270","1.5k"
"C9","CAPC1005X06L","7.0000","22.9000","7.0000","22.9000","6.6100","22.9000","BottomLayer","360","0.10uF"
"U2","FP-DBV0005A-MFG","13.4000","22.9000","13.4000","22.9000","14.3500","24.2000","TopLayer","270","TLV73333PDBVR"
"C2","CAPC1005X06L","12.2000","22.1000","12.2000","22.1000","11.8100","22.1000","BottomLayer","360","4.7uF"
"U1","BGA64C40P8X8_350X350X80","9.3000","22.1000","9.3000","22.1000","10.7000","23.5000","TopLayer","270","QL-EOS-S3"
"C7","CAPC1005X06L","12.2000","21.2000","12.2000","21.2000","12.5900","21.2000","BottomLayer","180","0.10uF"
"DS2","FP-SML-P12-MFG","3.7000","21.1000","3.7000","21.1000","3.7000","21.5500","TopLayer","270","SMLP12BC7TT86"
"DS1","FP-SML-P1-MFG","4.7000","21.1000","4.7000","21.1000","4.7000","21.5500","TopLayer","270","SML-P12PTT86"
"C6","CAPC1005X06L","13.8000","20.4000","13.8000","20.4000","14.1900","20.4000","TopLayer","180","4.7uF"
"C1","CAPC1005X06L","11.2000","20.0000","11.2000","20.0000","10.8100","20.0000","BottomLayer","360","4.7uF"
"C5","CAPC1005X06L","8.3000","19.1000","8.3000","19.1000","8.3000","18.7100","TopLayer","90","0.10uF"
"R13","ERJ2G(0402)_L","7.4000","19.1000","7.4000","19.1000","7.4000","18.7000","TopLayer","90","10k"
"C8","CAPC1005X06L","11.2000","19.1000","11.2000","19.1000","11.5900","19.1000","BottomLayer","180","0.10uF"
"Y1","FP-ECX-31B-MFG","12.5000","18.5000","12.5000","18.5000","13.7500","18.5000","TopLayer","180","ECS-.327-12.5-34B-TR"
"P2","HDR1X14","16.5100","17.7800","16.5100","34.2900","16.5100","34.2900","TopLayer","270","Header 14"
"P1","HDR1X14","1.2700","17.7800","1.2700","34.2900","1.2700","34.2900","TopLayer","270","Header 14"
"C4","CAPC1005X06L","11.5000","16.8000","11.5000","16.8000","11.8900","16.8000","TopLayer","180","12pF"
"C3","CAPC1005X06L","13.5000","16.8000","13.5000","16.8000","13.1100","16.8000","TopLayer","360","12pF"
"U3","SOP127P600X175-8N-2","6.4000","15.6000","6.4000","15.6000","9.1000","13.6950","TopLayer","180","GD25Q16CTIG"
"R11","ERJ2G(0402)_L","14.2000","15.0000","14.2000","15.0000","14.2000","15.4000","TopLayer","270","10k"
"R10","ERJ2G(0402)_L","13.2000","15.0000","13.2000","15.0000","13.2000","15.4000","TopLayer","270","10k"
"R15","ERJ2G(0402)_L","11.2000","15.0000","11.2000","15.0000","11.2000","15.4000","TopLayer","270","10k"
"R14","ERJ2G(0402)_L","12.2000","15.0000","12.2000","15.0000","12.2000","15.4000","TopLayer","270","10k"
"R12","ERJ2G(0402)_L","14.2000","13.1000","14.2000","13.1000","14.2000","13.5000","TopLayer","270","10k"
"R17","ERJ2G(0402)_L","11.2000","13.1000","11.2000","13.1000","11.2000","13.5000","TopLayer","270","10k"
"R16","ERJ2G(0402)_L","12.2000","13.1000","12.2000","13.1000","12.2000","13.5000","TopLayer","270","10k"
"C11","CAPC1005X06L","3.6250","12.6250","3.6250","12.6250","4.0150","12.6250","TopLayer","180","0.10uF"
"SW1","TS-1185","12.0650","10.5000","12.0650","10.5000","14.2400","10.5000","TopLayer","180","TS-1185"
"SW2","TS-1185","5.7150","10.5000","5.7150","10.5000","3.5400","10.5000","TopLayer","0","TS-1185"
"P5","HDR1X5","8.8900","6.3500","3.8100","6.3500","3.8100","6.3500","TopLayer","360","Header 5"
"P4","HDR1X5","8.8900","3.8100","3.8100","3.8100","3.8100","3.8100","TopLayer","360","Header 5"
"P3","HDR1X5","8.8900","1.2700","3.8100","1.2700","3.8100","1.2700","TopLayer","360","Header 5"
