Altium Designer Pick and Place Locations
C:\Users\blinkinlabs\Blinkinlabs-Repos\QL-EOS-S3-breakout\LightMod\Project Outputs for LightMod\Pick Place\Pick Place for LightMod.csv

========================================================================================================================
File Design Information:

Date:       01/12/20
Time:       17:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"J9","1751248","48.0000","57.0000","48.0000","57.0000","49.7500","57.0000","TopLayer","90","1751248"
"J11","HDR1X6","18.5000","52.1500","18.5000","58.5000","18.5000","58.5000","TopLayer","270","Header 6"
"J8","S4B-PH-SM4-TB(LF)(SN)","55.0000","46.0000","55.0000","46.0000","52.1250","43.0000","TopLayer","270","S4B-PH-SM4-TB(LF)(SN)"
"J1","S4B-PH-SM4-TB(LF)(SN)","5.0000","46.0000","5.0000","46.0000","7.8750","49.0000","TopLayer","90","S4B-PH-SM4-TB(LF)(SN)"
"C2","CAPC2012X10N","43.0000","44.0000","43.0000","44.0000","42.1500","44.0000","TopLayer","360","10uF"
"U2","BL-EOS-BREAKOUT-REVC","29.6200","42.1100","22.0000","58.6200","22.0000","58.6200","TopLayer","0","BL-EOS-BREAKOUT-REVC"
"U3","PW0020A_L","43.0000","39.0000","43.0000","39.0000","40.1500","41.9250","TopLayer","0","SN74HCT245PWR"
"U1","PW0020A_L","16.0000","39.0000","16.0000","39.0000","18.8500","36.0750","TopLayer","180","SN74HCT245PWR"
"C1","CAPC2012X10N","15.0000","34.0000","15.0000","34.0000","14.1500","34.0000","TopLayer","0","10uF"
"J7","S4B-PH-SM4-TB(LF)(SN)","55.0000","33.0000","55.0000","33.0000","52.1250","30.0000","TopLayer","270","S4B-PH-SM4-TB(LF)(SN)"
"J2","S4B-PH-SM4-TB(LF)(SN)","5.0000","33.0000","5.0000","33.0000","7.8750","36.0000","TopLayer","90","S4B-PH-SM4-TB(LF)(SN)"
"C3","CAPC2012X10N","26.6500","20.1000","26.6500","20.1000","25.8000","20.1000","TopLayer","0","10uF"
"J6","S4B-PH-SM4-TB(LF)(SN)","55.0000","20.0000","55.0000","20.0000","52.1250","17.0000","TopLayer","270","S4B-PH-SM4-TB(LF)(SN)"
"J3","S4B-PH-SM4-TB(LF)(SN)","5.0000","20.0000","5.0000","20.0000","7.8750","23.0000","TopLayer","90","S4B-PH-SM4-TB(LF)(SN)"
"J10","TFP09-2-12B","28.9500","11.2500","28.9500","6.0000","31.1500","16.5000","TopLayer","0","TFP09-2-12B"
"J5","S4B-PH-SM4-TB(LF)(SN)","55.0000","7.0000","55.0000","7.0000","52.1250","4.0000","TopLayer","270","S4B-PH-SM4-TB(LF)(SN)"
"J4","S4B-PH-SM4-TB(LF)(SN)","5.0000","7.0000","5.0000","7.0000","7.8750","10.0000","TopLayer","90","S4B-PH-SM4-TB(LF)(SN)"
